text,vague,predicted_vague
"Disney’s efforts in fiscal 2022 included transforming hospital spaces with imaginative installations like interactive murals, digital displays, and play spaces to ease the fear and anxiety of a hospital stay and bring comfort to patients and their families.
",notESG,notESG
"Certain compensation is also determined on the basis of performance using this measure.
",notESG,notESG
"Women like Serena have taught me the power of using your voice to level the playing field for female athletes of all ages.
",notESG,notESG
"Our partnership with NIKE and Converse not only brings in resources and opportunity to our organization, it broadens our community.
",notESG,notESG
"This supports the production of real time reports to help identify potential food safety risks and prompt immediate remedial action.
",notESG,notESG
"Neither future distribution of this material nor the continued availability of this material in archive form on our website should be deemed to constitute an update or re affirmation of these figures or statements as of any future date.
",notESG,notESG
"I think it’s pretty simple: If you love football... if you love sport, you need to care about our collective playing field our planet.
",notESG,notESG
"I noticed how women were wearing their partner’s shorts, folding over the waistband to make room for their bumps.
",notESG,notESG
"NIKE’s presence at L’ATTITUDE brought together NIKE LatinX teammates across all levels and functions, including representation from LatinX executives, the Latino Friends Network and NIKE retail athletes.
",notESG,notESG
"Our global network of lubricants blending and packaging plants have a Zero Waste to Landfill Silver validation 8 from Underwriters Laboratories (UL).
",specific,specific
"Even if I work late during the week, my weekends are a time for rest and spending time with loved ones.
",notESG,notESG
"ESPN upholds similar standards for journalistic integrity.
",notESG,notESG
"In 2022, our operating units began the identification of priority communities based on communities’ access to WASH and or their resilience to the impacts of climate change (e.g., floods and droughts).
",ambiguous,ambiguous
"However, we anticipate challenges meeting our overall goal of being 100% DMFa free by 2025.
",ambiguous,ambiguous
"Provided humanitarian assistance for Ukrainians Uber responded to the war in Ukraine and partnered with the IFRC and its Red Cross chapters, IRC, and United Nations organizations including the UNHCR (the UN Refugee Agency), the United Nations Children’s Fund (UNICEF), and the World Food Programme .
",notESG,notESG
"Participants can attend more than one course and may view online content more than once, depending on their individual needs.
",notESG,notESG
"Two participants achieved promotions to in store leadership and four participants were hired into roles at WHQ after the program.
",notESG,notESG
"The people of ExxonMobil are our most important competitive advantage.
",notESG,notESG
"It’s one of many ways to pursue career development at Uber with a low barrier to entry .
",notESG,notESG
"This is why we have animal health and welfare policies or commitments in place across our chicken, eggs, pork, beef and dairy supply chains.
",specific,specific
"Cotton and polyester data includes NIKE Brand footwear, apparel and socks, and Converse footwear and apparel.
",notESG,notESG
"We also continued to reduce the environmental impact of our productions and received 58 Green Seals and 38 Gold Seals from the Environmental Media Association.
",specific,specific
"In 2021 and 2022, the partners and the local and investments in place to continue to make waste management department have collected progress.
",ambiguous,ambiguous
"With aggregated self identification data, we can better understand the demographics of our colleague population and ensure our recruitment, development, and promotion strategies, along with our benefits and policies, are inclusive for all colleagues.
",notESG,notESG
"Because of the impact of One Acre Fund’s work on the lives of farmers like Dusabimana, the John Deere Foundation awarded the organization a ve year grant totaling 7.5 million to support its operations.
",notESG,notESG
"This approach helps build resiliency into our business and operations.
",generic,generic
"Go to related topics in this PDF wherever you see this symbol.
",notESG,notESG
"In 2022, Booking.com introduced three distinct badge levels to the Travel Sustainable program.
",notESG,notESG
"Through that fund, we engaged 65 active community partners in 57 cities across 21 states to provide vaccine education and rides .
",notESG,notESG
"This role reports to our Executive Vice President of Enterprise Technology and Chief Information Officer, who reports directly to our Chief Financial Officer.
",notESG,notESG
"We recognize there is a desire for standardization across reporting frameworks, and we’re within industry, business and policy forums.
",ambiguous,ambiguous
"McDonald’s has chosen to report through the voluntary SASB framework for the fourth time for our 2022 reporting period.
",specific,specific
"In response to the quick return to pre pandemic traffic levels in cities around the world, Uber produced a position paper on congestion .
",notESG,notESG
"The DCF also honored 20 Disney Conservation Heroes an award recognizing Indigenous and local people dedicated to promoting a world where people, plants, and animals all have a thriving place to call home.
",notESG,notESG
"We’re committed to helping these communities earn the financial security they want, need, and deserve.
",notESG,notESG
"Given the struc tural growth in cash flow generated by LNG and electricity, the Board of Directors decided to increase the interim dividend by 5% with respect to 2022 and proceed with share buybacks in an amount of 2 billion in the first half of the year.
",notESG,notESG
"In 2022, manufacturing supplier Shenzhou significantly grew their rooftop solar capacity in Vietnam.
",specific,specific
"The results show the Engagement and Inclusion Indexes are strong and stable, and employees continue to respond favorably to NIKE’s support of their changing needs while creating a culture of inclusion and belonging.
",notESG,notESG
"This broadened scope has resulted in a slight decrease in percent compliance.
",ambiguous,ambiguous
"Commitment: We are committed to sourcing chickens raised with improved welfare outcomes.
",generic,generic
"Through these commitments and their governance, we’re focused on developing sustainable solutions to integrate equity into everyday business practices .
",generic,generic
"The Company's strategy of focusing new oil investments on low carbon intensity projects also led it to exit from extra heavy crude oil assets in Venezuela's Orinoco Belt in 2021.
",specific,specific
"It is illustrat ed by the Company’s ability to avoid, reduce and compensate its impacts on communities over and beyond contractual obli gations.
",ambiguous,ambiguous
"This could include replacing production equipment with equipment that is newer and more efficient, runs on renewables or alternative fuel sources, or is electrically powered.
",ambiguous,ambiguous
"This is reflected in a number of initiatives, including the News Division wide Everyday Inclusion program, relevant employee committees, and frequent Diversity Inclusion workshops and discussions programmed throughout the year.
",notESG,notESG
"Car Next Door, which we recently acquired, offers peer to peer car sharing in Australia for longer trips .
",notESG,notESG
"The number of youths reached, the dollars invested, and the number of volunteer hours achieved don’t do justice to the true impact of John Deere Inspire.
",notESG,notESG
"Uber is empowering consumers to choose green and car free products .
",generic,generic
"Coca Cola Foundation, bottling partners and system associates.
",notESG,notESG
"The Hidden Genius Project trains and mentors Black male youth with technology education, entrepreneurship and leadership skills.
",notESG,notESG
"As a result, suppliers have increased flexibility where they can, from adjusting transportation times to adapting childcare policies such as increased parental leave.
",ambiguous,ambiguous
"Click here to view more on U.S. political contributions.
",notESG,notESG
"Additionally, NIKE works with suppliers to scale key opportunities that are likely to have the greatest impact on their unique energy and carbon footprint.
",ambiguous,ambiguous
"Help farmers use less water and implement sustainable agriculture practices.
",generic,generic
"That’s something I’ll pass on to every athlete I talk to.
",notESG,notESG
"The Regulatory and Compliance Committee of the Board of Directors oversees our quality and compliance governance framework, including the business led Quality Compliance Committees across our core functions, which drive proactive risk management and accountability.
",notESG,notESG
"Our practices support early identification and assessment of potential human rights impacts, along with other socioeconomic impacts and opportunities associated with our activities.
",ambiguous,ambiguous
"For the opening of the new RMHC in Niigata prefecture (our 12th house in Japan), office staff gathered items for the families staying there, sending 22 boxes filled with food items, books, toys and amenities.
",notESG,notESG
"You can learn more about our clinical trial work at Pfizer.com ClinicalTrials and by searching Pfizer on ClinicalTrials.gov.
",notESG,notESG
"Trees are important to the community, to the country, and to everyone.
",notESG,notESG
"In September 2020, TotalEnergies announced the project to transform its Grandpuits refinery southeast of Paris into a zero crude complex.
",specific,specific
"From my first childhood races with friends in my hometown of Kingston, Jamaica, to winning my fifth 100 meters title at the World Athletics Championships last summer in Eugene, Oregon (and yes, Olympic gold medals in between), I can confidently say that sport has made me stronger, both on and off the track.
",notESG,notESG
"The additions included the first in network HBCU, North Carolina A T State University, as well as the first culinary dedicated option, Johnson Wales University.
",notESG,notESG
"The goal of the badge is to make credible recognition of impactful sustainability efforts attainable for more properties worldwide and to provide travelers with a transparent, consistent and easy to understand way to identify a wider range of more sustainable stays, no matter where they want to travel.
",generic,generic
"Our material suppliers, Air MI facilities and distribution centers who are being assessed for Foundational Expectations for the first time are just starting on their journey.
",ambiguous,ambiguous
"The selection by management of different but acceptable measurement techniques could have resulted in materially different amounts or metrics being reported.
",ambiguous,ambiguous
"To support the financial well being of our teammates, we offer unlimited free financial coaching through Ernst Young, as well as a 401(k) match, scholarship programs, tuition reimbursement, dependent care subsidies, performance bonuses, stock purchase plans and more.
",notESG,notESG
"The audit program spans preclinical, clinical, pharmacovigilance, regulatory, medical, manufacturing and logistics, suppliers, and post launch activities.
",notESG,notESG
"But on weekends, I switch off completely no phone calls, no emails, nothing.
",notESG,notESG
"Nourish Every You was inspired by the insight that vitaminwater fans want to take care of themselves, but are living with fluctuating physical, emotional and spiritual needs.
",notESG,notESG
"Support the development of responsible training and resources such as checklists, toolkits recruitment markets through capacity building and guidelines.
",generic,generic
"That’s why I use my skill as a player and my voice as an athlete to ask what true equity looks like, so that we are not leaving anyone behind.
",notESG,notESG
"Because let’s be real as women and as athletes, so much of this wasn’t built for us.
",notESG,notESG
"Through transportation accessed through Uber Health, unemployed young adults in the Bridges to Employing Youth Program were able to receive a COVID 19 vaccination, a new requirement for many available employment positions.
",notESG,notESG
"About This Report pg. 81 Direct Response: This report covers all of Pfizer’s global operations included within the 2022 financial statements, unless otherwise stated.
",notESG,notESG
"UK: We’re spending 5 million to build 700 fast chargers in 3 London boroughs that are home to many drivers who use Uber, expanding London’s overall charging network by 7% .
",specific,specific
"Introduced innovative new employee safety programs.
",notESG,notESG
"The certification and recognition landscape in travel remains complex, and with the Travel Sustainable badge we aim to create a common language to make more sustainable travel choices easier, whether it's for a traveler booking a trip or an accommodation identifying the most impactful sustainability initiatives to implement.
",generic,generic
"Sprite Zero Sugar teamed up with Marvel Studios’ Black Panther: Wakanda Forever for the Infinite Potential.
",notESG,notESG
"How a company is able to continually transform business operations and develop products in response to increasing competitive pressure in the marketplace.
",notESG,notESG
"Our purpose is to move the world forward through the power of sport.
",notESG,notESG
"Well being was a core element of our return to the workplace in FY22.
",notESG,notESG
"Thus far, NIKE has not implemented water restoration project activities itself, but instead supports project activities and implementation conducted by third party NGOs.
",ambiguous,ambiguous
"The result of our year long assessment is Real Impact, a new vision for the company’s human rights program.
",generic,generic
"We also utilize composting and biodigestion, and convert food waste into animal feed where possible.
",specific,specific
"Our North America distribution center facilities implemented 24 7 onsite registered nurse and emergency medical technician oversight through a combination of internal and third party vendor services.
",notESG,notESG
"IEA World Electricity CO2 Emissions Factors (location based) In the absence of contractual instruments, residual mix factors, and a regional national grid mix factor, NIKE applies a protocol that covers all countries globally.
",ambiguous,ambiguous
"Sunnyvale: LEED Gold v4 ID C, WELL Platinum, WELL Health Safety Rating.
",notESG,notESG
"Additionally, NIKE is exploring policy frameworks to support offsite procurement across our sourcing regions and encouraging suppliers to take advantage of those opportunities where they exist.
",ambiguous,ambiguous
"Implement HRDD systems in certain targeted partners accountable, we also focus on building high risk supply chains, starting with palm oil in capacity to support respect for human rights the People Positive Palm Project and across our value chain.
",ambiguous,ambiguous
"The risks of damage to brand value and loss of customer base from shifting public sentiment about climate change.
",generic,generic
"Diversity Develop purchases from sheltered companies.
",notESG,notESG
"This work is critical to helping us achieve our emissions goals since our built environment, ranging from theme parks to offices, accounts for the majority of our Scope 1 and 2 emissions.
",specific,specific
"Our levers The main route to achieving these objectives is developing emissions reduction projects on our industrial sites, using the best technologies available: improving energy efficien cy, reducing flaring, reducing methane emissions, supplying renewable electricity and using CCS for residual emissions.
",specific,specific
"Globally, we face a critical lack of scaled, in market recycling technologies and quality operators located near our manufacturing locations that can process the full range of waste materials our product supply chain generates into usable feedstock for new products.
",ambiguous,ambiguous
"We also continued to provide clean drinking water, at all times, free of charge, to local families through an outdoor faucet at the Topo Chico bottling plant.
",notESG,notESG
"Costa’s portfolio also includes ready to drink and at home coffee solutions.
",notESG,notESG
"With funding from The Coca Cola Foundation, we supported Planet.
",notESG,notESG
"Regular risk updates and insights are provided to management and the Audit Finance Committee.
",notESG,notESG
"These reports detail our safety policies and processes and share data on the most serious incidents that occur on our rideshare platform in the US: motor vehicle fatalities, physical assault fatalities, and sexual assaults .
",notESG,notESG
"Cotton accounts for 69% of NIKE’s water footprint and is directly impacted by water stressors such as drought, water scarcity, floods and pollution.
",specific,specific
"The institute provides a forum for sharing best practices in hiring veterans and military spouses, and promoting skills and opportunities for a successful transition from the military to the civilian workforce.
",notESG,notESG
"The Foundation supports transformative ideas and institutions that address pressing and complex global challenges.
",notESG,notESG
"NMEs originating outside of Pfizer and acquired or licensed by Pfizer after achieving FIH or more advanced development milestones are generally excluded from FIH approval cycle time calculations where substantial development effort occurred before Pfizer’s operational control.
",notESG,notESG
"Additional machines released in 2023 include the 210 P Tier, 250 P Tier, and 300 P Tier.
",notESG,notESG
"In all our engagements with stakeholders, we are committed to upholding the principles of transparency, consistency, accountability and integrity.
",generic,generic
"Exxon Mobil Corporation has numerous affiliates, many with names that include ExxonMobil, Exxon, Mobil, Esso and XTO.
",notESG,notESG
"A cohort based series of professional development courses for Manager to Senior Director level women, ADL supports career advancement through highly interactive, learning focused sessions.
",notESG,notESG
"We were especially mindful of our employees’ psychological health during this period: we briefed managers on best prac tices for supervising their teams remotely, and we created a psychological support hotline available to anyone working at a TotalEnergies facility.
",notESG,notESG
"Being a BIPOC designer, I know how important diversity is.
",notESG,notESG
"A standout experience for me was coaching the flag football team with The Boys Girls Club.
",notESG,notESG
"Signed an R D agreement on zero carbon shipping with the Maersk Mc Kinney M ller Center new EV charge points in Amsterdam.
",ambiguous,ambiguous
"While we continue to see an increase in emissions against the FY15 baseline, this growth has slowed, as seen in our year over year reduction, indicating the impact of our long term decarbonization efforts.
",ambiguous,ambiguous
"Disney strives to foster a culture that values intellectual property protection to promote creativity, storytelling, and innovation, as well as maintain consumer trust.
",notESG,notESG
"This reduced the midsole defect rate at targeted factories by 45% and prevented approximately 2.5 million kilograms of waste.
",specific,specific
"Whether it was the fit, the form, the function or the style, I was not represented and I had to make it my own.
",notESG,notESG
"EMEA: Uber responded to the war in Ukraine and partnered with the IFRC and its Red Cross chapters, IRC, and United Nations organizations including the UNHCR (the UN Refugee Agency), the United Nations Children’s Fund (UNICEF), and the World Food Programme .
",notESG,notESG
"To fulfill this responsibility, we offer mandatory anti harassment training and have a Compliance Helpline in place for employees to report any instances of harassment or discrimination.
",notESG,notESG
"NIKE’s FPW target is accelerating our journey toward product circularity.
",generic,generic
"In late 2021, TotalEnergies and Clean Energy broke ground for their first biomethane than 40 GWh per year of biomethane as a result, 45 kt of CO2e emissions will be avoided each year.
",specific,specific
"Our focus on Diversity, Equity, and Inclusion ows throughout each component, with the aim of elevating our people’s ability to pioneer new solutions and ultimately unlock value.
",generic,generic
"Committed 10 million free rides In 2021, Uber committed to giving 10 million free or discounted rides to healthcare workers, seniors, and other people around the world so they could travel to get vaccinated .
",notESG,notESG
"Return a total of 2 trillion liters of water to nature and communities globally between 2021 and 2030.
",specific,specific
"Superhero Series is the UK’s only sports event dedicated to the nation’s approximately 14 million People with Disabilities.
",notESG,notESG
"If something shows promise, then we start testing and iterating.
",notESG,notESG
"We aim to generate profitable, sustainable growth to create value across the geographies in which we operate.
",generic,generic
"All these calculations come together, with each practice being weighted accordingly and taking local factors into account, to create an overall score for the property’s sustainability practices.
",ambiguous,ambiguous
"We periodically update these assessments to reflect any changes to operational complexity or socioeconomic sensitivities, amending management plans where needed.
",ambiguous,ambiguous
"We engage policymakers and regulators to understand shifting external and regulatory landscapes to help ensure that issues facing our company and our commitment to breakthroughs that change patients’ lives are communicated.
",notESG,notESG
"Since our founding nearly 100 years ago, storytelling has fueled our Company, and contributing positively to our communities has been integral to how we operate.
",notESG,notESG
"Fish: 88.8% of the fish sourced for McDonald’s Filet O Fish came from sustainably managed wild caught fisheries, assessed and verified annually against the McDonald’s Sustainability Fisheries.
",specific,specific
"Evolving consumer tastes and preferences help steer our business strategy and shape the lineup of beverages we bring to market.
",notESG,notESG
"In 2022, we expanded complimentary access to Disney for the teams in children’s hospitals around the world who support patients.
",notESG,notESG
"Our leaders strive to model behaviors and create an environment where employees feel empowered to prioritize their well being.
",notESG,notESG
"Ethanol provides upwards of 40% less CO2e emissions than gasoline, and the production and distribution network for ethanol is already mature in many geographies around the world.8 We displayed a concept 9 liter engine that is compatible with ethanol at the 2023 AGRITECHNICA show.
",specific,specific
"In the first session, 640 leaders participated from North America Latin America (LATAM) and the Europe, Middle East Africa (EMEA) region, across all businesses.
",notESG,notESG
"One person I’ve learned a lot from is Marine Graham, Vice President of Responsible Supply Chain.
",notESG,notESG
"D Learn data represents all employees, excluding Pixar and contract workers for all years and Hulu employees prior to fiscal 2021.
",notESG,notESG
"Emission Factors Emissions are reported in metric tons of carbon dioxide equivalent and include carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and refrigerant R 410A.
",specific,specific
"This is the second largest grant in the Foundation’s history.
",notESG,notESG
"Responsible engagement provides an effective forum to discuss issues and share relevant information, facts and viewpoints.
",notESG,notESG
"Trained and or hired 1.7 million young people since July 2018.
",notESG,notESG
"Global employee benefits The best teams are built with diverse ideas, identities, ethnicities, experiences, and education .
",notESG,notESG
"Our EAP provides 24 7 support and connects participants directly to a licensed network therapist at no cost.
",notESG,notESG
"Rubber, EVA foam and leather data includes NIKE Brand footwear only.
",notESG,notESG
"Bottling Investments Group (BIG), Global Ventures, fairlife and BODYARMOR. For exclusions, please view the criteria statement in the Independent Accountants’ Review Report.
",notESG,notESG
"The ESG issues identified in our assessment are important to the long term success of our business and our business strategy .
",generic,generic
"In total, more than 160 of our suppliers have set or committed to setting SBTi approved emissions targets.
",specific,specific
"Electricity Contracts as described in NIKE’s market based emissions table below.
",ambiguous,ambiguous
"For this reason, we have decided to take the scenario into account, for testing the resilience of our portfolio and projects and ensuring the strength of our bal ance sheet.
",ambiguous,ambiguous
"We have faced increased scrutiny related to reporting on and achieving these initiatives, as well as continued public focus on similar matters, such as packaging and waste, animal health and welfare, deforestation and land use.
",ambiguous,ambiguous
"At an operational level, owners of the respective climate risks and opportunities perform ongoing monitoring and escalations in line with an established risk reporting and escalation matrix.
",ambiguous,ambiguous
"In April 2022, the first reported spawning of rough cactus coral in human care took place at the Center.
",notESG,notESG
"The members of this team are strategically located in the Middle East, Europe and Latin America, enabling strong connection to the Developmental Licensee (DL) markets and helping to elevate our food safety culture globally.
",notESG,notESG
"Cars: Hybrid vehicles available in 57 countries and EVs in 20 countries with relevant filters and labels on Booking.com.
",notESG,notESG
"TotalEnergies intends to pursue its dia logue with stakeholders to keep this labor policy moving forward.
",ambiguous,ambiguous
"One such group is the Ben Raemers Foundation, which highlights how skateboarding can help people develop the skills and tools needed to support themselves and each other as well as to help understand and address mental health through community and sport.
",notESG,notESG
"The mission of Leading Harvest aligns with our Leap Ambitions, with the scale and scope of the project serving as a potential catalyst to unlock additional value for our customers.
",ambiguous,ambiguous
"Non GAAP financial measures should be viewed in addition to, and not as an alternative for, the company’s reported results prepared in accordance with GAAP.
",notESG,notESG
"The system documents date and time of spraying, overall spray volumes, chemical savings, tree counts, canopy volume, and acres hectares sprayed.
",specific,specific
"As of 2025, it will no longer be selling heavy fuel oil for power gen eration, and it is already steering its customers toward alter natives, such as natural gas, biofuels and renewable energies.
",specific,specific
"We are engaging with suppliers and educating both accommodation providers and customers on what sustainable travel means.
",ambiguous,ambiguous
"TotalEnergies Foundation encompasses the community initiatives conducted every day worldwide by the Company's sites, affiliates and corporate foundation.
",notESG,notESG
"Eleven manufacturing suppliers belonging to the Supplier Sustainability Council (SSC) in FY22 accounted for up to 65% of strategic supplier emissions.
",specific,specific
"The Coca Cola Foundation remains committed to making a difference by addressing the complex global challenges that impact our communities around the world.
",generic,generic
"Partnered with Shenergy to develop gas sales in China.
",ambiguous,ambiguous
"DEI is a path we choose both mindfully and actively, and is cultivated by listening, learning, and connecting with our colleagues, patients, and communities.
",notESG,notESG
"We assess Foundational Expectations through verified Social Labor Convergence Program (SLCP) assessments, Higg Facility Environmental Module (Higg FEM) assessments and Zero Discharge of Hazardous Chemicals (ZDHC) wastewater testing.
",specific,specific
"We aim to dispose of waste only if other options have been exhausted and we have robust processes to select waste sites that meet our high standards and expectations.
",specific,specific
"Control and autonomy Drivers and couriers who earn with Uber have real time control over their working hours, times, and locations .
",notESG,notESG
"How a company implements policies and procedures surrounding compliant and lawful corporate conduct and competition in the marketplace.
",notESG,notESG
"The Company plans to deploy action plans for the 2022 2025 period in three stages: surveys, action plans and disclosure of results.
",ambiguous,ambiguous
"Uber also bolstered resources needed for these efforts by raising 1 .1 million through our in app donation button for IRC’s resettlement programs .
",notESG,notESG
"At the end of FY22, recycled polyester made up 46% of NIKE Footwear’s total polyester usage, up from 28% the previous year.
",specific,specific
"Launched in 2012, the program is committed to hiring, training, and supporting U.S. military veterans and military spouses while elevating awareness of their significant contributions as civilian employees.
",notESG,notESG
"The first concerns reducing emissions from the Company’s facilities and factors in the cost of carbon in purchases of all goods and services with an impact on operations.
",ambiguous,ambiguous
"The Tong Hong Tannery in China reduced its freshwater use in FY22 by 12.4% from its FY20 baseline through several process improvement strategies.
",specific,specific
"Pfizer’s global QMS framework is designed to ensure that our manufacturing sites and contract manufacturers meet or exceed our product quality standards.
",notESG,notESG
"In collaboration with the utility serving Walt Disney World Resort, two 75 megawatt solar facilities are expected to come online and are projected to bring the Resort’s renewable energy consumption up to nearly 40% of its annual total power use.
",specific,specific
"She’s now 18 and I have loved hearing about her successes over the years, in school and softball.
",notESG,notESG
"As the consumer landscape shifts, we are using our competitive advantages to further strengthen our brand.
",notESG,notESG
"In addition, we are including our priority sourcing regions as part of our water replenishment programs.
",ambiguous,ambiguous
"In 2022, wish families were given a special sneak peek of the Star Wars: Galactic Starcruiser at Walt Disney World Resort before it opened to the public.
",notESG,notESG
"This guide covers sustainability aspects of the asset design, outfitting and layout, including pollution, energy use, recycling, coastal and marine ecosystems and human centered design.
",specific,specific
"We’re offering more low and no calorie options in more places.
",generic,generic
"The NIKE Supplier Climate Action Program (SCAP) is a critical component of supplier engagement work, supporting ambitious climate action for new layers of the supply chain.
",ambiguous,ambiguous
"We are a proud supporter of The Grace Hopper Celebration of Women in Computing, the world’s largest gathering of women and nonbinary people in technology.
",notESG,notESG
"We focus on providing them with great deals and an optimized user experience.
",notESG,notESG
"These policies establish the guiding principles for John Deere corporate governance, including board composition and functions, meetings, committees, compensation, management evaluation, and succession planning.
",notESG,notESG
"Continued scaling up in offshore wind in 2021 Offshore wind offers high utilization rates with significant development potential and better acceptability than onshore wind, particularly in Europe.
",specific,specific
"The goal is to assist customers in making informed decisions in the booking process.
",notESG,notESG
"In 2022, shareholders voted on 10 issues, including seven shareholder proposals.
",notESG,notESG
"In 2022, Pfizer developed IUdo, a digital solution offering a standardized and secure platform to streamline processes for third parties managing Pfizer support programs, combined with a mobile app for patients.
",notESG,notESG
"Our funding supported IOM’s International Recruitment Integrity System (IRIS) Global Policy Network, a platform for dialogue and exchange between policymakers, regulators, and key stakeholders to facilitate ethical and responsible recruitment of migrant workers.
",notESG,notESG
"Along with a dozen other multinational companies, NIKE supported the launch of the Asia Clean Energy Coalition (ACEC) in FY22.
",ambiguous,ambiguous
"We also conducted a global risk assessment to identify salient human rights risks1 across our global value chain and evaluate the strength of our governance to meet future challenges.
",ambiguous,ambiguous
"Approach to help reduce greenhouse gas emissions in support of a net zero future.
",generic,generic
"In FY22, NIKE completed a comprehensive waste audit of its WHQ in Oregon.
",specific,specific
"Two zero sugar, zero calorie options offer a slightly sweet, fruity taste.
",notESG,notESG
"This has resulted in the ability to leverage direct measurements of energy consumption in textile manufacturing operations (e.g., knitting, weaving, leather tanning and non woven manufacturing) rather than solely relying on estimated data using general lifecycle assessment (LCA) emission factors.
",specific,specific
"Our Chief Human Resources Officer, Paul Richardson, continues to lead our human capital management strategy and reports directly to our CEO.
",notESG,notESG
"Achieved LEED Gold and WELL Platinum at our headquarters.
",notESG,notESG
"Backlot Movie Experience at La Marqueta in Puerto Rico.
",notESG,notESG
"Through our partnership with SpringHealth, we continued to provide two well being offerings to make sure our employees are provided with necessary care and diverse mental support benefits.
",notESG,notESG
"Please refer to our filings with the Securities and Exchange Commission for more details on risks that could adversely affect our business performance.
",notESG,notESG
"A few examples that underscore our commitment include NIKE’s 4 million investment in The Asian American Foundation and our ongoing support of HBCUs.
",notESG,notESG
"Currently, we are estimating Scope 3, Category 1 GHG Emissions based on spend and industry average emissions data.
",ambiguous,ambiguous
"Growing presence in biogas In early 2021, TotalEnergies became a major player in biogas in France by acquiring will be used as an alternative fuel for joined forces to produce biomethane from mobility, thereby helping to decarbonize road transportation.
",ambiguous,ambiguous
"We also launched a Self Identification campaign, inviting all U.S. colleagues to disclose demographic information if they choose.
",notESG,notESG
"Open dialogue enables us to hear concerns, discuss approaches and share plans.
",notESG,notESG
"Wild caught fish refers to fish that come from seas, rivers and other natural outlets selling McDonald’s branded coffee products.
",notESG,notESG
"In 2021, the Company produced 60,000 tons of recycled and bioplastic.
",specific,specific
"Research is underway to see how heat from nearby industrial and municipal ecosystems can be put to use.
",ambiguous,ambiguous
"Through this program we were able to offset all of our residual Scope 1, 2 and 3 emissions.
",specific,specific
"NIKE also supports Paris based PLAY International, which uses sport as a vehicle for education and social change to help drive their commitment toward equality and empowerment for girls.
",notESG,notESG
"World in BalanceOur ApproachIntroductionWorld of HopeInvesting in Our PeopleOperating ResponsiblyData Reporting FrameworksTable of ContentsWorld of Belonging The growing amount of waste produced today poses a threat to our environment and ecosystems, and to communities around the world.
",generic,generic
"Increased efficiency and effectiveness of Pfizer’s quality lab practices and safety systems.
",notESG,notESG
"The Board of Directors challenges and approves the strategy proposed by the Company’s management.
",notESG,notESG
"We will continue to explore the opportunities for oil seeds to increase the production of renewable diesel and provide new revenue streams for customers.
",ambiguous,ambiguous
"Pixar themed Starlight Hospital Wear, inspired by iconic characters including those from Disney and Pixar’s The Incredibles, Buzz Lightyear and Jessie from Toy Story, and Russell from Up, were offered to all hospitals within Starlight’s network for the first time.
",notESG,notESG
"Even if it’s just 10 minutes, it keeps me accountable.
",notESG,notESG
"These practices contribute to more resilient food systems and communities, and a more sustainable global economy.
",generic,generic
"ExxonMobil’s projects and operations around the world provide socioeconomic benefits within and beyond the communities where we operate.
",generic,generic
"Our approach to carbon credits can be found in our Natural Climate Solutions White Paper.
",ambiguous,ambiguous
"In Los Angeles, we teamed up with the Play Equity Fund to launch LA Made to Play Neighborhoods.
",notESG,notESG
"And worldwide gas demand increased by 4% in 2021, with the IEA expecting a 2% rise in 2022.
",notESG,notESG
"A collaboration among RISE International, Educate A Child and the ExxonMobil Foundation led to the construction of 26 primary schools in Angola for nearly 30,000 out of school children in the provinces of Luanda, Benguela and Bi .
",notESG,notESG
"Organizational Boundary NIKE uses the operational control approach in conformance with the GHG Protocol to report its energy and emissions for 100% of the facilities where NIKE has operational control.
",specific,specific
"At the end of 2022, that included 21 markets where McDonald’s operates.
",notESG,notESG
"He now serves as a patient advocate, using his voice to help provide hope and reinforce that the future is brighter for those impacted by sickle cell disease.
",notESG,notESG
"That policy has yielded a steady decline in the number of accidents.
",notESG,notESG
"This is a leading practice that helps employees continue to reflect their multiple identities, from education level and caregiver status to race ethnicity and military veteran status (where applicable) .
",notESG,notESG
"The aim is also to help encourage and incentivize more accommodations to continue making progress toward that goal.
",generic,generic
"We offer inclusive family planning benefits and transgender care, including travel costs when services are not available locally.
",notESG,notESG
"HPCIA52 use has been eliminated from chicken served in the following markets: Australia, Brazil, Canada, Europe, Japan, South Korea and the U.S.
",specific,specific
"As described above, we are committed to giving consumers notice about how their data will be used, and we only share data.
",notESG,notESG
"We have also worked closely with our business and supporting functions to provide strategic design consultation on topics such as inclusive communication, inclusive sponsorship, cultural appreciation versus cultural appropriation, and inclusive and accessible design.
",notESG,notESG
"One of the ways we do that is by engaging our NIKE family in conversations about mental health.
",notESG,notESG
"Emissions data for HFCs, PFCs and SF6 are not reported.
",notESG,notESG
"The data presented in this report includes incident reports reported on or before April 15, 2022 .
",specific,specific
"Harvest: HarvestLab 3000 can detect key characteristics of the crop such as moisture and crude protein to better understand the performance of the silage being harvested.
",notESG,notESG
"Pfizer also supports bilateral donations between governments to help ensure access.
",notESG,notESG
"In South Korea, VoluntEARS prepared 200 Winnie the Pooh themed gift packages, which were delivered to children of families from under resourced communities.
",notESG,notESG
"Franchisees, but extrapolates where it does not have access to the underlying data globally.
",ambiguous,ambiguous
"In 2022, our global female representation increased 1.1% overall, with increases across all levels.
",specific,specific
