sentence,gpt4_annotation,mistral_annotation,Comments,mistral_response
"Exclusions: Primary fiber based packaging in food packaged off site of McDonald’s restaurants, tray liners and limited locally sourced items.
",no,yes,," Based on the information provided in the sentence, it appears that the sentence is discussing Scope 3"
"Includes all suppliers of products containing animals, ensuring the safety and quality of beef, and driving efficiency and palm oil in the McDonald’s System and all McDonald’s restaurants owned innovation to reduce waste and improve economic viability.
",no,yes,," Based on the given sentence, it appears that the discussion is related to suppliers of products for McDonald'"
"These principles and operated by the Company and its Franchisees that use palm oil.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"Fisheries may also the Company and its Franchisees that sell chicken.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions, specifically in the context of franchises."
"Scope: Includes all wild caught fish sourced for Filet O Fish portions served the complexity of soy supply chains, we consider that, unless demonstrated, a chain of custody forest management standard.
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions related to the upstream transportation and"
"Includes all suppliers of priority regions, with the exception of chicken sourced in North America, living source and that can be continually replenished.
",no,yes,," Based on the provided sentence, it appears to be discussing suppliers or vendors (likely those located in priority"
"Source: ISO 14021:2016, for plastic, ASTM 6866 or ISO restaurants owned and operated by the Company and its Franchisees that sell risk.
",no,yes,," Based on the provided context, it appears that the sentence is discussing Scope 3 emissions, specifically"
"Exclusions: Products that are not Filet O Fish containing wild caught or restaurants, for example, soy oil.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions several categories"
"Scope: Includes all palm oil (including crude palm oil, palm kernel end of 2021.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions specifically related to the use of"
"Switzerland, the U.K. and the U.S. McDonald’s collects data from McOpCo and participating Franchisees but extrapolates where it does not have access to the underlying data globally.
",no,yes,," Based on the provided sentence, yes, the discussion is about Scope 3 emissions specifically in relation"
"Italy, Jordan, Mexico, the Netherlands, Switzerland, the U.K. and the U.S.
",no,yes,," Based on the context provided in the sentence, it appears that the sentence is discussing Scope 3"
"We have a unique opportunity as a global brand to mobilize the entire McDonald’s System the Company, Franchisees, suppliers and producers to catalyze change.
",no,yes,," Based on the given context, the sentence is discussing scope 3 emissions in the categories of ""Fr"
"Read more about our Climate Action strategy and our approach to responsible sourcing on our website.
",no,yes,," The sentence is discussing scope 3 emissions, specifically in the context of a Climate Action strategy and"
"These science based targets were approved by the Science Based Targets initiative (SBTi) in 2018, and we have continued to work toward them by collaborating with industries, governments, Franchisees, suppliers, consumers and local communities.
",no,yes,," The sentence does mention ""Franchises"" which is a category of Scope 3 emissions as"
"We are accelerating solutions that help reduce waste while also transitioning to more sustainable packaging and toy materials.
",no,yes,," Based on the sentence provided, it appears that the discussion is about reducing waste and transitioning to more"
"We track progress against our goals through supplier and restaurant reports on packaging composition, usage and waste.
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions in the context of ""upstream"
"This is dependent upon reinventing our packaging in a way that continues to meet the needs of our customers and our business and working with suppliers to build supply chains.
",no,yes,," Based on the given sentence, it appears that the discussion is about reducing or addressing scope 3 emissions"
"We are reducing plastic use by redesigning items such as switching to paper based straws, deploying new McFlurry cups without plastic lids and introducing salad boxes and cutlery made from renewable fiber.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to reducing the use"
"We’re also reducing the amount of packaging materials our products use.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"We continue to work on sourcing materials used in Happy Meal toys from renewable, recycled or certified sources.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions under the category ""Purch"
"In many markets globally, we are managing packaging waste through recycling our fiber based packaging.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to managing waste generated"
"To help drive change at scale, we are engaging with the wider business community, NGO partners, political stakeholders and academics, as well as our Franchisees, suppliers, customers and restaurant crew.
",no,yes,," The sentence is discussing Scope 3 emissions, specifically ""Franchises"" which is listed as"
"Reusables require washing, which means we need to continue measuring the water and energy used for washing and the impact on GHG emissions.
",no,yes,," Yes, the sentence is discussing scope 3 emissions, specifically in the category of ""Water and W"
"McDonald’s has developed a system to minimize supply chain food waste using a hierarchy adapted from the U.S. Environmental Protection Agency’s (EPA) Food Recovery Hierarchy.
",no,yes,," The sentence is discussing scope 3 emissions, specifically in the context of ""upstream activities related to"
"McDonald’s assesses this risk annually with third parties, including WWF, to take into account the latest supply chain data and trends.
",no,yes,," Based on the given sentence, McDonald's is discussing assessing risks related to its supply chain,"
"We are also engaging with suppliers on bespoke plans and enhanced data reporting to mitigate future risks.
",no,yes,," Based on the provided context, it appears that the sentence is discussing activities related to Scope 3"
"McDonald’s is committed to working together with stakeholders and supply chain actors to directly support development and improvement of sustainable palm oil production.
",no,yes,," Based on the given sentence, it appears that the discussion is related to sustainability efforts in McDonald'"
"Scope: Includes all ground and whole bean coffee, including material.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"NGOs, external manufacturing partners and scientists, and based on an operated by the Company and its Franchisees that sell beef.
",no,yes,," Based on the given information, it appears that the discussion is related to upstream activities in the supply"
"Exclusions: Beef used as secondary currently identified as high deforestation priority regions for coffee include unless certified under a Chain of Custody Forest Management standard.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions related to the exclusion of"
"McDonald’s System and all McDonald’s restaurants owned and operated by the Company and its Franchisees that sell chicken.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Exclusions: Coffee extracts and ingredients used in products such as frapp s and coffee in baked goods coffee in cold brew drinks if they are brewed off site coffee extract in ready to drink retail products and other locally sourced products containing coffee.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions. More specifically, it ment"
"This type of to not intentionally adding fluorinated compounds through our processes, but fluorinated compounds present in the local environment make it difficult to remove all traces of fluorine from packaging.
",no,yes,," Based on the given sentence, it is discussing emissions related to the use of sold products, which falls"
"Forests Water web page for additional definitions.
",no,yes,, The sentence is discussing Scope 3 emissions as it mentions various categories of Scope 3
"Exclusions: Primary fiber based packaging in food packaged off site of McDonald’s restaurants, tray liners and limited locally sourced items.
",no,yes,," Based on the given sentence, it appears that the discussion is about Scope 3 emissions as the"
"At the end of 2022, that included include Argentina (Chaco biome), Brazil (Amazon and Cerrado biomes) and owned and operated by the Company and its Franchisees.
",no,yes,," Based on the provided sentence, it mentions ""Franchises"" which is a category under S"
"Latin America, Turkey and Thailand, and Happy Meal book and toy packaging.
",no,yes,," Based on the given information, it appears that the sentence is discussing Scope 3 emissions, specifically"
"Source: ISO 14021:2016 for plastic, ASTM 6866 or consider that, unless demonstrated, all of McDonald’s sources of soy for such as wood stirrers and cutlery, and paper straws and lids.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"All volumes of of chicken sourced in North America where soy used in chicken feed is locally contingency items sourced from suppliers compliant with our standards but produced and considered low risk.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"Exclusions: Soy used as an ingredient in not integrated into our data reporting system were counted as non compliant.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"McDonald’s products sold in restaurants, for example, soy oil.
",no,yes,," Based on the information provided in the sentence, it is discussing Scope 3 emissions related to the"
"Forests Water web page for additional definitions.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"This is when palm oil is used as an ingredient within an ingredient, for example, an emulsifier.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"In the Franchisee segment, we achieved a five point improvement, from 78 to 83.
",no,yes,," Based on the given sentence, it is discussing the Franchises category under Scope 3 emissions"
"Our global supply chain spans countries, continents and industries.
",no,yes,," Based on the given context, it appears that the sentence is discussing Scope 3 emissions as it"
"McDonald’s was one of the first retailers to implement a CAS system into a U.S. broiler supply chain, and currently 60% of our dedicated processing facilities have been converted.
",no,yes,," Based on the given sentence, it appears that the discussion is focused on McDonald's efforts to implement"
"Exclusions: Beef used as secondary ingredients in McDonald’s products, for example, as flavoring in a sauce.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"McDonald’s restaurants, and all ground and whole bean coffee in McDonald’s volumes (IP, SG or MB).
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to the upstream"
"Exclusions: Palm oil, palm kernel oil or their derivative used as secondary ingredients in McDonald’s products.
",no,yes,," Based on the provided context, the sentence is discussing Scope 3 emissions as it mentions various"
"Exclusions: Coffee extracts verified as compliant to the McDonald’s Sustainable Fisheries Standard and ingredients used in products such as frapp s and coffee in baked goods by the Sustainable Fisheries Partnerships.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"Includes all suppliers of primary based packaging to the McDonald’s System and all McDonald’s restaurants owned and operated by the Company and its Franchisees.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions,"
"Exclusions: Products that are not Filet O Fish containing wild caught or the Netherlands, Poland, South Korea, Spain, Switzerland, the U.K. and the U.S. farmed fish.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions, specifically"
"Scope: Includes all soybean volume used in the feed fiber based packaging in food packaged off site McDonald’s restaurants tray sustainably managed wild caught fisheries.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"If use is deemed of chicken sourced for McDonald’s products by all chicken suppliers to the liners, straws and limited locally sourced items.
",no,yes,," Based on the given sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"McDonald’s System and all McDonald’s restaurants owned and operated by the Company and its Franchisees that sell chicken.
",no,yes,," Based on the given sentence, it appears to be discussing Scope 3 emissions, specifically those related"
"For the purposes of this goal, Europe includes Austria, Azerbaijan, Belarus, Belgium, Bosnia Herzegovina, operated by the Company and its Franchisees that use palm oil.
",no,yes,," Based on the information provided in the sentence, it appears that ""Franchises"" is being discussed"
"This training for crew and managers was made available in multiple languages and offered optionally to Franchisees and DLs in 2022 to help them meet the Global Brand Standards requirement in every restaurant.
",no,yes,," Based on the given sentence, it is discussing the category of ""Franchises"" under Scope"
"Portugal, Slovakia, Spain, Switzerland, Ukraine, the U.K. and the U.S. Corporate employees who support our Development Licensees are also included.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions as"
"Further, this figure is inclusive of U.S. Company owned restaurant spend, supply chain, restaurant development, marketing, legal, global technology, workplace solutions, communication, finance, global people and other corporate functions.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is about Scope 3"
"This figure also includes purchases made by Franchisees for advertising, restaurant development, technology, food, distribution, packaging, equipment and uniforms.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"This scope excludes noncontrollables (taxes, utilities, rent, aircraft fuel, airport fees, facility leases, donations, bank fees and subscriptions).
",no,yes,," Based on the provided sentence, it appears that the discussion is about the categories of Scope 3"
"This data reflects U.S. employees who voluntarily supplies.
",no,yes,, Employee commuting is a category of Scope 3 emissions under the upstream transportation and distribution
"Due to rounding, some totals may not correspond with the sum of the separate figures.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"For example, HAVI partnered with RMHC Portugal and RMHC Spain to transport over 80 pallets of essential items, which were split between two organizations for distribution throughout Ukraine.
",no,yes,," The sentence is discussing upstream transportation and distribution, which is a category of Scope 3 emissions"
"Over 11 million was raised by McDonald’s Canada, its independent Franchisees and customers through in restaurant giving efforts.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to McDonald's Canada's"
"Today, restaurant energy use represents 59% of our restaurant and operations baseline emissions footprint as such, they represent a key focus area for accelerating progress against our 2030 targets.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is focused on the energy use"
"McDonald’s portion of these renewable energy projects will help prevent approximately 3,600,000 metric tons of CO2e emissions annually.
",no,yes,," Based on the given information, it appears that the sentence is discussing CO2e emissions preventions associated"
"Please find additional information on our Climate Action page and in our 2022 CDP Climate Change response.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"We are working to eliminate or replace small plastic items that are hard to recycle, not needed for safety or functionality and likely to leak into the environment, such as straws, plastic bags and cutlery.
",no,yes,," Based on the provided sentence, it is discussing the reduction of plastic waste which falls under the category """
"Learn more about our efforts in these areas throughout the Food Quality Sourcing and Our Planet pages, as well as our 2022 CDP Climate Change and 2022 CDP Forests responses.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about the various categories of"
"Please find additional information in McDonald’s Annual Report.
",no,yes,," Based on the provided context, it appears that the sentence is discussing Scope 3 emissions as it"
"Scope: Includes all palm oil (including crude palm oil, palm kernel sourced from renewable, recycled or certified materials as compared to 2021 also be independently certified as meeting the MSC Principles and Criteria oil, derivatives and fractions) sourced for McDonald’s restaurants for use due to deployment of new packaging materials not yet compliant with our goal for Sustainable Fishing where a certificate of conformity to an MSC Standard as restaurant cooking oil and all palm oil sourced by McDonald’s suppliers standards.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions related to ""Purchased"
"Includes all suppliers of products containing standards and remain committed to our 2025 goal.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"Source: ISO 14021:2016 for plastic, ASTM 6866 or ISO 16620 2.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions various categories"
"Forests Water web page for additional definitions.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions as the"
"Exclusions: Primary fiber based packaging in food packaged off site of McDonald’s restaurants, tray liners and limited locally sourced items.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions as it"
"Scope: Includes all beef suppliers to the McDonald’s System and their raw material suppliers globally and all McDonald’s restaurants owned and operated by the Company and its Franchisees that sell beef.
",no,yes,," Based on the information provided in the sentence, it is discussing Scope 3 emissions related to the"
"McDonald’s requires all beef raw material sourced from high deforestation priority regions to comply with McDonald’s Deforestation Free Beef Procurement Policy and meet the requirements as outlined in McDonald’s Commitment on Forests.
",no,yes,," Based on the provided sentence, McDonald's is discussing their requirement for beef raw materials sourced from"
"Exclusions: Beef used as secondary ingredients in McDonald’s products, for example, as flavoring in a sauce.
",no,yes,," Based on the given information in the sentence, it appears that the sentence is discussing Scope 3"
"Includes all wild caught fish sourced for Filet O Fish portions served in operated by the Company and its Franchisees that use palm oil.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"All RSPO supply chain models applicable restaurants owned and operated by the Company and its Franchisees that sell to RSPO are applicable to McDonald’s: RSPO Identity Preserved (IP), RSPO fish.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions,"
"Exclusions: Palm oil, palm kernel oil or their derivative sourced products.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions as the"
"This resulted in an increase of fish sourced from fisheries whose Fishery Improvements Projects are not yet compliant with our standards.
",no,yes,," Based on the given sentence, it appears that the discussion is related to the ""Upstream activities"""
"Scope: Includes all ground and whole bean coffee, including to package guest food on premises at McDonald’s restaurants.
",no,yes,," Based on the given context, the sentence is discussing Scope 3 emissions related to the ""p"
"McDonald’s restaurants, and all ground and whole bean coffee in McDonald’s folding cartons, clamshells, food service bags, napkins, salad bowls, Happy Meal branded retail products.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Includes all suppliers of coffee to the McDonald’s cartons, drink carriers and cup carriers.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"Market scope includes all McDonald’s restaurants owned and operated packaging to the McDonald’s System and all McDonald’s restaurants owned by the Company and its Franchisees that sell coffee, and retail outlets selling and operated by the Company and its Franchisees.
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions specifically related to franchises."
"Exclusions: Coffee extracts and items sourced from suppliers compliant with our standards but not integrated ingredients used in products such as frapp s and coffee in baked goods coffee into our data reporting system were counted as non compliant.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions as"
"Exclusions: Primary fiber based packaging in food packaged off site McDonald’s restaurants tray liners, straws and limited locally sourced items.
",no,yes,," Based on the given sentence, it appears that the discussion is about Scope 3 emissions as it"
"McDonald’s System and all McDonald’s restaurants owned and operated by the Company and its Franchisees that sell chicken.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"More detailed information is available in the company’s Outlook for Energy, Advancing Climate Solutions report and this Sustainability Report, among other publications.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"EDMS is being integrated with existing site based emissions monitoring and measurement systems to enable collection of up to date, site specific information.
",no,yes,," The sentence is discussing Scope 3 emissions specifically related to ""Fuel and energy-related activities"
"Global Energy Management System (GEMS): GEMS identifies opportunities to improve energy efficiency and reduce greenhouse gas emissions intensity in Downstream and Chemical operations, which are part of ExxonMobil Product Solutions.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned is ""Downstream"
"More information can be found in ExxonMobil’s 2022 Proxy Statement.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is about Scope 3"
"Apply to all foreign, domestic and state owned companies.
",no,yes,, The sentence is discussing Scope 3 emissions as it mentions various categories of Scope 3
"Then we develop management plans to avoid, reduce or address them.
",no,yes,," Based on the provided context, it appears that the sentence is discussing Scope 3 emissions as it"
"For the first time, a field team of Papua New Guinean fauna experts completed the biennial biodiversity survey in the project’s Upstream area 5 .
",no,yes,," Based on the provided context, it appears that the sentence is discussing scope 3 emissions related to """
"An assessment to verify 2020 annual forest cover changes against 2019 data in the Upstream area after construction activities concluded that the identified broad scale forest loss or degradation was not attributable 6 to ExxonMobil PNG Limited’s activities.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions, specifically in the category of"
"In 2021, we recycled nearly 100 million barrels of water, which enabled us to offset almost half of our water needs for fracking operations.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to upstream activities and specifically ment"
"ExxonMobil recognizes the importance of clean air to our communities and implements emission reduction initiatives, including those that reduce nitrogen oxides and volatile organic compounds at our operated assets.
",no,yes,," Based on the provided sentence, it appears that the discussion is focused on ExxonMobil'"
"Our waste mitigation hierarchy prioritizes waste avoidance when feasible and when waste is unavoidable, we work to reduce, recover or reuse it whenever possible.
",no,yes,," The sentence is discussing waste generated in operations, which falls under the category of Scope 3 emissions"
"We were the first petroleum products company to receive this status by diverting over 90% of waste produced in our global plant network from local landfills.
",no,yes,, Waste generated in operations is a category of Scope 3 emissions.
"That means more demand for energy to power homes, transportation and consumer goods.
",no,yes,," Based on the given context, it appears that the sentence is discussing Scope 3 emissions in the"
"It also includes the monitoring required to determine the effectiveness of these measures.
",no,yes,," Based on the given sentence, it appears that the discussion is related to Scope 3 emissions as"
"Our approach to local supplier development and utilization includes purchasing goods and services from local suppliers and building their capabilities to help create a competitive local industrial base.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions as it mentions ""purchasing goods"
"Examples include reducing energy use and incorporating recycled content into packaging materials.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. The given examples fall under the categories of"
"Reusing wooden shipping pallets between the freight forwarder and the warehouse, reducing the need to purchase new pallets.
",no,yes,," Based on the provided sentence, this is an example of upstream transportation and distribution within the scope of"
"The Papua New Guinea team has done an outstanding job embracing and expanding their waste management program.
",no,yes,," Based on the provided sentence, it appears that the discussion is focused on waste generated in operations, which"
"During the year, new training was introduced to ExxonMobil employees to build skills in the areas of inclusive sourcing, human rights and environmental performance in the supply chain.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to scope 3"
"The OIMS framework goes beyond our employees to include third party providers and contractors.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions as"
"Visit our content index for a detailed mapping of the locations of information regarding these issues.
",no,yes,," Based on the provided sentence, it is discussing Scope 3 emissions as it mentions the various"
In countries where ExxonMobil has an upstream business presence.,no,yes,," Yes, the sentence is discussing Scope 3 emissions. The specific category mentioned in the sentence is"
"At the same time, we continually look for ways to offer more sustainable options for transportation across our brands.
",no,yes,," Based on the provided text, it appears that the sentence is discussing Scope 3 emissions related to"
"Travel Sustainable program for accommodations live on Booking.com, Agoda, KAYAK and Priceline.
",no,yes,," Based on the given sentence, it is discussing emissions related to business travel, which falls under the category"
"We have included emissions information when booking a flight, expanded our rides capabilities to include electric taxis and included a new search filter for electric and hybrid rental vehicles on Booking.com.
",no,yes,," Based on the provided context, it appears that the sentence is discussing scope 3 emissions related to business"
"Priceline saw a 5.5x increase in electric vehicle (EV) rentals as we continue to work with our supply partners to make renting an EV more accessible to our customers.
",no,yes,," Based on the given sentence, it appears that the discussion is related to the purchasing of goods and services"
"Definitions for these topics are included in the About This Report section.
",no,yes,," Based on the provided sentence, it appears that the discussion is about Scope 3 emissions as the"
"Our travel provider partners and affiliates are an integral part of our business.
",no,yes,," Based on the given sentence, it is discussing Scope 3 emissions specifically related to ""Business"
"We measure our carbon footprint by looking first at our direct and indirect emissions resulting from our own operations and purchased energy.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is about both scope 1"
"The company processes waste ash and produces biochar products used to improve grass yields and land remediation.
",no,yes,," Based on the information provided in the sentence, it appears that the company is discussing activities related to """
"Proceeds of the sale of carbon dioxide removal certificates (CORCs) are used to distribute biochar to local farmers, subsidize the cost of biochar for farming and to enable investment in new biochar making facilities.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"We made it easier for travelers to find more sustainable transport options.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to sustainability in the context of"
"This target applies to accommodations, flights, car rentals and rides.
",no,yes,," Based on the given sentence, it appears that the discussion is about Scope 3 emissions specifically related"
"The target will include bookings from Agoda, Booking.com, Priceline and Rentalcars.com.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"Reductions on track with the purchase of in market renewable energy attribute certificates at Booking Holdings and with new office campuses at Booking.com in Amsterdam and Manchester.
",no,yes,," Based on the information provided, it appears that the sentence is discussing scope 3 emissions related to """
"Flights: Flight options display carbon emissions on Booking.com KAYAK, including an active Less CO sorter on KAYAK.
",no,yes,," Yes, the sentence is discussing Scope 3 emissions. Specifically, it mentions ""F"
"Peer to peer carsharing services offered on KAYAK through partnership with Getaround.
",no,yes,," Based on the given sentence, it appears that the discussion is about ""peer to peer carsharing"
"This target applies to four verticals: accommodations, flights, car rentals and rides.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to Scope 3 emissions,"
"We are engaging with suppliers and educating both accommodation providers and customers on what sustainable travel means.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to Scope "
"Disruptions to regional or global travel and changes in destinations.
",no,yes,," The sentence is discussing Scope 3 emissions, specifically related to business travel and employee commuting."
"Scope 1 emissions are the direct GHG emissions from operations that are owned or controlled by Booking Holdings: facilities, installations and company owned vehicles.
",no,yes,," Based on the provided context, the sentence is discussing Scope 3 emissions as it mentions various"
"To calculate the total Scope 2 emissions of our facilities, we estimate the electricity consumption for facilities for which no consumption data is available.
",no,yes,," Based on the provided sentence, it appears that the discussion is focused on Scope 2 emissions ("
"We calculated the emissions of our largest supplier with the supplier specific method, meaning we collected allocated Scope 1 and 2 emissions directly from the supplier.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is focused on Scope "
"This included researching the suppliers’ certification, that the certification had been accurately recorded in our systems, and that the resulting spend data was reflected correctly.
",no,yes,," Based on the given context, it appears that the sentence is discussing the process of evaluating and recording"
"We have increased our outreach to Tier 1 suppliers (prime contractors) to report their Tier 2 (subcontractor) spend.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to supply chain emissions, specifically asking"
"Then my mother told me something that turned my world upside down (in a good way, don’t worry ).
",no,yes,, I'm unable to determine if the sentence is discussing scope 3 emissions based on the given text
"In Greater China, we partnered with International SOS to procure and install automated external defibrillator systems across 11 office locations a deal that included embedded training content.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to purchased goods and services within the"
"After beginning discussions in FY21 with the ILO’s Vision Zero Fund (VZF), a G7 funded initiative focused on eliminating severe or fatal work related accidents, injuries and diseases in global supply chains, we expanded our relationship and collaboration in FY22 to reduce road and commuter accidents among workers in our supply chain.
",no,yes,," Based on the provided context, the sentence is discussing scope 3 emissions under the category of ""Em"
"Workers are empowered to make decisions and act to avoid and or mitigate known risk factors when commuting.
",no,yes,," The sentence is discussing scope 3 emissions under the category of ""Employee commuting""."
"We are not only driving compliance with the CLS with suppliers, but also looking internally at how our business practices impact those who make our product.
",no,yes,," Based on the given sentence, it appears that the discussion is about a company's internal efforts to"
"We have long standing partnerships with most of the Tier 1 finished goods suppliers.
",no,yes,," Based on the sentence provided, it appears that the discussion is about purchased goods and services in the context"
"Over 90% of NIKE footwear and apparel is made by factory groups that we have worked with for over 15 years.
",no,yes,," Based on the provided sentence, it appears to be discussing the sourcing and production of Nike'"
"Our material suppliers, Air MI facilities and distribution centers who are being assessed for Foundational Expectations for the first time are just starting on their journey.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to scope 3 emissions, specifically"
"As a part of this strategy, we created three third party remediation programs targeting the unique needs of suppliers.
",no,yes,," Based on the given sentence, it is discussing scope 3 emissions specifically related to ""suppliers."""
"We also created a third party facilitated remediation program targeting the needs of distribution centers.
",no,yes,," Based on the context provided in the sentence, it appears that the discussion is related to ""distribution"
"This includes partnering with global and local experts to provide regional training to suppliers.
",no,yes,," Based on the given sentence, it is discussing activities that fall under Scope 3 emissions, specifically"
"In FY22, we supported Better Work’s delivery of trainings to workers at several suppliers in Jordan, focused on topics like mental well being, sexual harassment prevention and workplace communication.
",no,yes,," Based on the information provided in the sentence, it appears that the discussion is related to purchased goods and"
"In FY21, NIKE began a Strategic Partnership Program with Issara Institute with the kick off of Issara Worker Voice program at all Tier 1 finished goods and Tier 2 material suppliers operating in Thailand that employ foreign migrant workers.
",no,yes,," Based on the provided information, it appears that the sentence is discussing scope 3 emissions related to up"
"We’re focused on using recycled materials, creating more durable materials, using better chemistry and making products that are easier to refurbish or recycle.
",no,yes,," Based on the provided sentence, it is discussing the use of recycled materials, creation of durable materials"
"While small compared to NIKE’s overall footprint including supply chain and materials, we have direct (through ownership) or indirect (through lease) control of energy use in over 1,000 facilities.
",no,yes,," Based on the given text, it is discussing Scope 2 emissions related to the energy use in"
"We continue to build our experience and expertise in the renewables space while supporting our supply chain and expanding into other forms of Scope 1 decarbonization.
",no,yes,," The sentence is discussing scope 3 emissions, specifically in the context of the supply chain and expansion into"
"Natural gas use and related emissions increased in Air MI and distribution centers due to spikes in cold weather and increased ventilation due to COVID 19 operating requirements.
",no,yes,," The sentence is discussing Scope 3 emissions, specifically under the category ""Fuel and energy-"
"NIKE seeks a variety of energy saving opportunities, but prioritizes projects at locations with high electricity consumption and opportunities for energy efficiency upgrades.
",no,yes,," Based on the given sentence, NIKE is discussing energy efficiency upgrades and projects related to electricity"
"Where we have a small, dispersed footprint, NIKE began purchasing unbundled EACs. We sourced such certificates in 15 countries, making up 22% of our overall renewable electricity footprint.
",no,yes,," Based on the provided sentence, it appears that Nike is discussing the purchase of Renewable Energy"
"Distribution Centers We completed an LED light retrofit project at the North American Logistics Center facility in FY22.
",no,yes,," Based on the provided sentence, it appears that the discussion is related to activities that fall under the category"
"These include heating and ventilation systems and LED lighting.
",no,yes,," Based on the information provided in the sentence, it is discussing Scope 3 emissions specifically related to"
"The home base sustainable aviation fuel (SAF) program is well established and NIKE aims to begin purchasing fuel from the SAF program monthly in FY23.
",no,yes,," Based on the information provided, the sentence is discussing scope 3 emissions under the category of ""F"
"In EMEA, we’re transitioning 300 fleet vehicles to electric at distribution centers.
",no,yes,," The sentence is discussing scope 3 emissions, specifically under the category ""Fuel and energy-related"
"Because I work with manufacturers all over the world, I spend a lot of time traveling.
",no,yes,," The sentence is discussing the category of ""Employee commuting"" under Scope 3 emissions."
